35 595
1 2 28
1 3 5
1 4 31
1 5 25
1 6 34
1 7 68
1 8 1
1 9 40
1 10 92
1 11 73
1 12 3
1 13 8
1 14 97
1 15 4
1 16 78
1 17 51
1 18 15
1 19 67
1 20 80
1 21 44
1 22 92
1 23 100
1 24 25
1 25 20
1 26 36
1 27 83
1 28 33
1 29 88
1 30 94
1 31 9
1 32 66
1 33 91
1 34 11
1 35 42
2 3 57
2 4 10
2 5 62
2 6 74
2 7 85
2 8 26
2 9 52
2 10 57
2 11 7
2 12 18
2 13 10
2 14 1
2 15 8
2 16 49
2 17 15
2 18 85
2 19 99
2 20 20
2 21 41
2 22 94
2 23 25
2 24 27
2 25 67
2 26 34
2 27 29
2 28 38
2 29 44
2 30 89
2 31 79
2 32 34
2 33 72
2 34 83
2 35 74
3 4 39
3 5 64
3 6 59
3 7 74
3 8 9
3 9 19
3 10 75
3 11 31
3 12 44
3 13 76
3 14 59
3 15 44
3 16 44
3 17 6
3 18 44
3 19 22
3 20 17
3 21 2
3 22 84
3 23 86
3 24 59
3 25 90
3 26 0
3 27 63
3 28 43
3 29 25
3 30 59
3 31 37
3 32 95
3 33 6
3 34 37
3 35 46
4 5 68
4 6 25
4 7 11
4 8 16
4 9 72
4 10 13
4 11 62
4 12 38
4 13 36
4 14 0
4 15 65
4 16 54
4 17 32
4 18 79
4 19 73
4 20 89
4 21 1
4 22 39
4 23 71
4 24 77
4 25 71
4 26 100
4 27 96
4 28 9
4 29 11
4 30 67
4 31 29
4 32 85
4 33 15
4 34 62
4 35 62
5 6 9
5 7 84
5 8 62
5 9 90
5 10 89
5 11 41
5 12 83
5 13 85
5 14 91
5 15 49
5 16 14
5 17 11
5 18 46
5 19 60
5 20 4
5 21 2
5 22 54
5 23 65
5 24 74
5 25 42
5 26 75
5 27 9
5 28 93
5 29 57
5 30 77
5 31 94
5 32 54
5 33 56
5 34 73
5 35 56
6 7 10
6 8 8
6 9 15
6 10 74
6 11 92
6 12 16
6 13 21
6 14 11
6 15 63
6 16 69
6 17 63
6 18 85
6 19 23
6 20 59
6 21 44
6 22 66
6 23 64
6 24 47
6 25 7
6 26 5
6 27 14
6 28 74
6 29 36
6 30 28
6 31 43
6 32 77
6 33 0
6 34 76
6 35 48
7 8 24
7 9 73
7 10 69
7 11 100
7 12 82
7 13 6
7 14 90
7 15 10
7 16 29
7 17 71
7 18 13
7 19 4
7 20 77
7 21 77
7 22 43
7 23 16
7 24 43
7 25 74
7 26 25
7 27 6
7 28 6
7 29 91
7 30 68
7 31 74
7 32 66
7 33 99
7 34 91
7 35 57
8 9 72
8 10 28
8 11 88
8 12 93
8 13 39
8 14 32
8 15 56
8 16 42
8 17 76
8 18 17
8 19 63
8 20 74
8 21 2
8 22 96
8 23 1
8 24 68
8 25 76
8 26 98
8 27 64
8 28 5
8 29 20
8 30 2
8 31 44
8 32 1
8 33 73
8 34 4
8 35 15
9 10 20
9 11 71
9 12 45
9 13 80
9 14 73
9 15 35
9 16 63
9 17 57
9 18 31
9 19 81
9 20 23
9 21 21
9 22 22
9 23 81
9 24 81
9 25 93
9 26 50
9 27 50
9 28 12
9 29 29
9 30 97
9 31 7
9 32 2
9 33 99
9 34 65
9 35 81
10 11 12
10 12 39
10 13 5
10 14 95
10 15 60
10 16 83
10 17 93
10 18 71
10 19 61
10 20 12
10 21 32
10 22 5
10 23 22
10 24 33
10 25 4
10 26 18
10 27 79
10 28 36
10 29 72
10 30 68
10 31 20
10 32 53
10 33 46
10 34 94
10 35 6
11 12 17
11 13 40
11 14 63
11 15 34
11 16 57
11 17 45
11 18 14
11 19 37
11 20 100
11 21 92
11 22 2
11 23 50
11 24 4
11 25 64
11 26 98
11 27 98
11 28 39
11 29 58
11 30 19
11 31 62
11 32 33
11 33 21
11 34 24
11 35 90
12 13 78
12 14 76
12 15 34
12 16 18
12 17 12
12 18 30
12 19 94
12 20 58
12 21 28
12 22 55
12 23 35
12 24 39
12 25 26
12 26 95
12 27 2
12 28 38
12 29 83
12 30 59
12 31 40
12 32 85
12 33 4
12 34 31
12 35 66
13 14 98
13 15 40
13 16 60
13 17 30
13 18 16
13 19 42
13 20 36
13 21 78
13 22 59
13 23 95
13 24 39
13 25 93
13 26 49
13 27 45
13 28 37
13 29 99
13 30 65
13 31 95
13 32 96
13 33 45
13 34 26
13 35 75
14 15 35
14 16 5
14 17 52
14 18 48
14 19 52
14 20 36
14 21 88
14 22 60
14 23 11
14 24 61
14 25 20
14 26 90
14 27 76
14 28 41
14 29 39
14 30 2
14 31 81
14 32 83
14 33 41
14 34 94
14 35 32
15 16 35
15 17 64
15 18 66
15 19 80
15 20 39
15 21 31
15 22 54
15 23 70
15 24 36
15 25 79
15 26 92
15 27 68
15 28 72
15 29 47
15 30 7
15 31 58
15 32 73
15 33 9
15 34 55
15 35 27
16 17 57
16 18 84
16 19 40
16 20 0
16 21 52
16 22 68
16 23 97
16 24 45
16 25 37
16 26 18
16 27 65
16 28 23
16 29 49
16 30 54
16 31 10
16 32 60
16 33 63
16 34 19
16 35 65
17 18 43
17 19 39
17 20 56
17 21 52
17 22 57
17 23 100
17 24 13
17 25 64
17 26 76
17 27 45
17 28 87
17 29 52
17 30 12
17 31 98
17 32 78
17 33 19
17 34 89
17 35 31
18 19 27
18 20 66
18 21 6
18 22 76
18 23 45
18 24 25
18 25 68
18 26 94
18 27 82
18 28 76
18 29 68
18 30 56
18 31 3
18 32 37
18 33 59
18 34 35
18 35 48
19 20 71
19 21 17
19 22 17
19 23 52
19 24 20
19 25 78
19 26 50
19 27 65
19 28 19
19 29 64
19 30 97
19 31 74
19 32 79
19 33 94
19 34 44
19 35 43
20 21 57
20 22 99
20 23 70
20 24 33
20 25 27
20 26 16
20 27 87
20 28 49
20 29 23
20 30 51
20 31 84
20 32 77
20 33 81
20 34 45
20 35 9
21 22 18
21 23 34
21 24 57
21 25 17
21 26 25
21 27 5
21 28 83
21 29 99
21 30 43
21 31 45
21 32 57
21 33 2
21 34 45
21 35 100
22 23 69
22 24 52
22 25 97
22 26 34
22 27 80
22 28 45
22 29 3
22 30 23
22 31 53
22 32 58
22 33 20
22 34 62
22 35 29
23 24 98
23 25 86
23 26 53
23 27 48
23 28 93
23 29 78
23 30 73
23 31 24
23 32 15
23 33 58
23 34 70
23 35 59
24 25 86
24 26 34
24 27 8
24 28 22
24 29 68
24 30 100
24 31 64
24 32 19
24 33 68
24 34 10
24 35 1
25 26 91
25 27 70
25 28 8
25 29 83
25 30 56
25 31 6
25 32 7
25 33 25
25 34 53
25 35 99
26 27 37
26 28 94
26 29 76
26 30 16
26 31 89
26 32 53
26 33 50
26 34 99
26 35 92
27 28 54
27 29 48
27 30 59
27 31 6
27 32 96
27 33 100
27 34 84
27 35 51
28 29 75
28 30 81
28 31 26
28 32 23
28 33 95
28 34 98
28 35 87
29 30 94
29 31 15
29 32 52
29 33 43
29 34 63
29 35 45
30 31 55
30 32 29
30 33 15
30 34 5
30 35 29
31 32 40
31 33 80
31 34 41
31 35 2
32 33 26
32 34 40
32 35 47
33 34 25
33 35 7
34 35 66
