67 2211
1 2 71
1 3 88
1 4 95
1 5 40
1 6 51
1 7 33
1 8 21
1 9 73
1 10 25
1 11 47
1 12 42
1 13 98
1 14 89
1 15 86
1 16 80
1 17 96
1 18 93
1 19 81
1 20 36
1 21 1
1 22 46
1 23 17
1 24 9
1 25 70
1 26 34
1 27 88
1 28 20
1 29 9
1 30 99
1 31 68
1 32 12
1 33 46
1 34 48
1 35 4
1 36 69
1 37 73
1 38 86
1 39 83
1 40 10
1 41 20
1 42 55
1 43 68
1 44 64
1 45 16
1 46 45
1 47 14
1 48 39
1 49 18
1 50 20
1 51 99
1 52 91
1 53 58
1 54 22
1 55 89
1 56 7
1 57 64
1 58 6
1 59 86
1 60 17
1 61 40
1 62 94
1 63 65
1 64 19
1 65 61
1 66 59
1 67 91
2 3 90
2 4 75
2 5 65
2 6 57
2 7 64
2 8 60
2 9 60
2 10 99
2 11 37
2 12 84
2 13 49
2 14 17
2 15 47
2 16 3
2 17 10
2 18 47
2 19 20
2 20 10
2 21 38
2 22 52
2 23 26
2 24 6
2 25 96
2 26 57
2 27 76
2 28 37
2 29 17
2 30 3
2 31 92
2 32 59
2 33 25
2 34 81
2 35 74
2 36 45
2 37 20
2 38 2
2 39 62
2 40 76
2 41 36
2 42 86
2 43 83
2 44 78
2 45 60
2 46 37
2 47 40
2 48 40
2 49 41
2 50 89
2 51 80
2 52 57
2 53 56
2 54 43
2 55 42
2 56 50
2 57 38
2 58 88
2 59 11
2 60 60
2 61 12
2 62 37
2 63 74
2 64 39
2 65 19
2 66 76
2 67 79
3 4 95
3 5 36
3 6 69
3 7 12
3 8 13
3 9 20
3 10 62
3 11 20
3 12 72
3 13 98
3 14 60
3 15 54
3 16 81
3 17 17
3 18 57
3 19 62
3 20 98
3 21 91
3 22 61
3 23 74
3 24 83
3 25 58
3 26 71
3 27 57
3 28 73
3 29 50
3 30 51
3 31 72
3 32 69
3 33 47
3 34 13
3 35 35
3 36 84
3 37 50
3 38 65
3 39 54
3 40 37
3 41 58
3 42 57
3 43 87
3 44 58
3 45 36
3 46 85
3 47 86
3 48 34
3 49 42
3 50 57
3 51 53
3 52 11
3 53 73
3 54 95
3 55 75
3 56 85
3 57 47
3 58 63
3 59 75
3 60 37
3 61 26
3 62 11
3 63 67
3 64 21
3 65 66
3 66 10
3 67 5
4 5 86
4 6 4
4 7 58
4 8 56
4 9 83
4 10 6
4 11 24
4 12 6
4 13 87
4 14 77
4 15 50
4 16 42
4 17 76
4 18 55
4 19 12
4 20 14
4 21 60
4 22 91
4 23 81
4 24 86
4 25 33
4 26 60
4 27 23
4 28 89
4 29 1
4 30 6
4 31 83
4 32 86
4 33 7
4 34 87
4 35 0
4 36 58
4 37 68
4 38 27
4 39 38
4 40 48
4 41 12
4 42 11
4 43 25
4 44 28
4 45 4
4 46 55
4 47 75
4 48 31
4 49 80
4 50 61
4 51 83
4 52 9
4 53 70
4 54 21
4 55 72
4 56 89
4 57 21
4 58 37
4 59 63
4 60 49
4 61 45
4 62 1
4 63 49
4 64 35
4 65 6
4 66 24
4 67 3
5 6 15
5 7 11
5 8 84
5 9 78
5 10 49
5 11 49
5 12 59
5 13 52
5 14 56
5 15 98
5 16 11
5 17 50
5 18 3
5 19 22
5 20 3
5 21 11
5 22 37
5 23 76
5 24 35
5 25 77
5 26 97
5 27 79
5 28 27
5 29 5
5 30 7
5 31 7
5 32 34
5 33 84
5 34 62
5 35 92
5 36 52
5 37 43
5 38 97
5 39 54
5 40 78
5 41 79
5 42 44
5 43 97
5 44 36
5 45 18
5 46 87
5 47 53
5 48 69
5 49 66
5 50 48
5 51 68
5 52 12
5 53 23
5 54 68
5 55 23
5 56 92
5 57 14
5 58 45
5 59 50
5 60 49
5 61 64
5 62 0
5 63 91
5 64 47
5 65 60
5 66 77
5 67 99
6 7 33
6 8 45
6 9 58
6 10 23
6 11 10
6 12 61
6 13 91
6 14 84
6 15 26
6 16 73
6 17 51
6 18 11
6 19 33
6 20 53
6 21 100
6 22 49
6 23 55
6 24 32
6 25 4
6 26 78
6 27 34
6 28 0
6 29 44
6 30 29
6 31 45
6 32 91
6 33 98
6 34 70
6 35 1
6 36 92
6 37 93
6 38 60
6 39 43
6 40 75
6 41 6
6 42 90
6 43 6
6 44 67
6 45 70
6 46 39
6 47 16
6 48 77
6 49 67
6 50 84
6 51 4
6 52 8
6 53 83
6 54 43
6 55 1
6 56 13
6 57 46
6 58 13
6 59 42
6 60 20
6 61 83
6 62 26
6 63 35
6 64 18
6 65 6
6 66 95
6 67 28
7 8 17
7 9 84
7 10 56
7 11 64
7 12 93
7 13 65
7 14 59
7 15 51
7 16 2
7 17 9
7 18 69
7 19 37
7 20 66
7 21 83
7 22 65
7 23 64
7 24 17
7 25 13
7 26 54
7 27 73
7 28 33
7 29 6
7 30 86
7 31 84
7 32 38
7 33 93
7 34 97
7 35 46
7 36 7
7 37 57
7 38 64
7 39 26
7 40 58
7 41 6
7 42 89
7 43 44
7 44 54
7 45 72
7 46 3
7 47 100
7 48 12
7 49 86
7 50 34
7 51 74
7 52 8
7 53 17
7 54 87
7 55 82
7 56 25
7 57 20
7 58 50
7 59 98
7 60 46
7 61 95
7 62 27
7 63 74
7 64 39
7 65 59
7 66 85
7 67 51
8 9 91
8 10 86
8 11 1
8 12 76
8 13 23
8 14 55
8 15 19
8 16 84
8 17 75
8 18 83
8 19 64
8 20 99
8 21 86
8 22 57
8 23 90
8 24 45
8 25 17
8 26 47
8 27 52
8 28 85
8 29 25
8 30 25
8 31 90
8 32 87
8 33 47
8 34 44
8 35 58
8 36 67
8 37 86
8 38 88
8 39 31
8 40 27
8 41 40
8 42 39
8 43 79
8 44 50
8 45 17
8 46 17
8 47 68
8 48 28
8 49 75
8 50 62
8 51 57
8 52 55
8 53 87
8 54 37
8 55 14
8 56 29
8 57 67
8 58 47
8 59 26
8 60 39
8 61 56
8 62 58
8 63 94
8 64 47
8 65 53
8 66 90
8 67 37
9 10 46
9 11 43
9 12 31
9 13 40
9 14 85
9 15 100
9 16 95
9 17 27
9 18 62
9 19 4
9 20 88
9 21 64
9 22 15
9 23 53
9 24 61
9 25 20
9 26 74
9 27 62
9 28 63
9 29 71
9 30 70
9 31 52
9 32 22
9 33 44
9 34 0
9 35 16
9 36 77
9 37 84
9 38 32
9 39 25
9 40 29
9 41 55
9 42 88
9 43 80
9 44 3
9 45 68
9 46 71
9 47 53
9 48 0
9 49 51
9 50 70
9 51 56
9 52 66
9 53 95
9 54 82
9 55 95
9 56 28
9 57 84
9 58 77
9 59 47
9 60 27
9 61 64
9 62 41
9 63 45
9 64 70
9 65 5
9 66 18
9 67 17
10 11 6
10 12 46
10 13 44
10 14 95
10 15 87
10 16 13
10 17 57
10 18 77
10 19 62
10 20 16
10 21 79
10 22 69
10 23 84
10 24 57
10 25 82
10 26 64
10 27 77
10 28 12
10 29 89
10 30 40
10 31 78
10 32 63
10 33 4
10 34 62
10 35 36
10 36 85
10 37 76
10 38 99
10 39 44
10 40 6
10 41 11
10 42 67
10 43 6
10 44 57
10 45 40
10 46 24
10 47 73
10 48 15
10 49 52
10 50 12
10 51 80
10 52 97
10 53 64
10 54 6
10 55 13
10 56 52
10 57 9
10 58 60
10 59 25
10 60 85
10 61 30
10 62 26
10 63 7
10 64 25
10 65 27
10 66 87
10 67 68
11 12 2
11 13 94
11 14 56
11 15 14
11 16 75
11 17 94
11 18 1
11 19 0
11 20 60
11 21 36
11 22 57
11 23 33
11 24 75
11 25 8
11 26 52
11 27 79
11 28 12
11 29 58
11 30 37
11 31 31
11 32 88
11 33 70
11 34 5
11 35 87
11 36 3
11 37 28
11 38 47
11 39 27
11 40 36
11 41 54
11 42 84
11 43 46
11 44 51
11 45 91
11 46 3
11 47 63
11 48 81
11 49 3
11 50 10
11 51 30
11 52 13
11 53 73
11 54 70
11 55 63
11 56 97
11 57 60
11 58 92
11 59 3
11 60 62
11 61 100
11 62 35
11 63 29
11 64 6
11 65 82
11 66 15
11 67 0
12 13 56
12 14 11
12 15 96
12 16 27
12 17 41
12 18 69
12 19 32
12 20 28
12 21 70
12 22 37
12 23 21
12 24 51
12 25 25
12 26 52
12 27 8
12 28 52
12 29 95
12 30 65
12 31 35
12 32 44
12 33 14
12 34 7
12 35 73
12 36 97
12 37 67
12 38 42
12 39 13
12 40 35
12 41 13
12 42 83
12 43 83
12 44 100
12 45 57
12 46 82
12 47 71
12 48 88
12 49 27
12 50 56
12 51 8
12 52 95
12 53 70
12 54 40
12 55 30
12 56 2
12 57 41
12 58 31
12 59 100
12 60 50
12 61 74
12 62 73
12 63 71
12 64 14
12 65 38
12 66 65
12 67 92
13 14 95
13 15 6
13 16 33
13 17 100
13 18 95
13 19 73
13 20 61
13 21 56
13 22 41
13 23 47
13 24 38
13 25 63
13 26 83
13 27 42
13 28 42
13 29 50
13 30 45
13 31 97
13 32 54
13 33 58
13 34 81
13 35 35
13 36 44
13 37 55
13 38 14
13 39 12
13 40 47
13 41 85
13 42 26
13 43 21
13 44 56
13 45 18
13 46 27
13 47 40
13 48 72
13 49 37
13 50 13
13 51 15
13 52 32
13 53 78
13 54 57
13 55 26
13 56 40
13 57 51
13 58 28
13 59 80
13 60 47
13 61 80
13 62 58
13 63 27
13 64 53
13 65 91
13 66 36
13 67 88
14 15 34
14 16 97
14 17 95
14 18 60
14 19 32
14 20 8
14 21 32
14 22 100
14 23 30
14 24 37
14 25 32
14 26 73
14 27 1
14 28 98
14 29 28
14 30 76
14 31 2
14 32 44
14 33 56
14 34 95
14 35 53
14 36 29
14 37 1
14 38 45
14 39 50
14 40 67
14 41 65
14 42 20
14 43 72
14 44 37
14 45 5
14 46 23
14 47 97
14 48 75
14 49 50
14 50 46
14 51 50
14 52 94
14 53 9
14 54 57
14 55 42
14 56 43
14 57 93
14 58 20
14 59 10
14 60 13
14 61 40
14 62 32
14 63 22
14 64 72
14 65 73
14 66 99
14 67 51
15 16 97
15 17 71
15 18 97
15 19 76
15 20 1
15 21 12
15 22 68
15 23 81
15 24 1
15 25 74
15 26 54
15 27 98
15 28 67
15 29 32
15 30 92
15 31 12
15 32 37
15 33 59
15 34 99
15 35 35
15 36 8
15 37 4
15 38 90
15 39 5
15 40 26
15 41 93
15 42 96
15 43 83
15 44 91
15 45 75
15 46 64
15 47 99
15 48 86
15 49 57
15 50 54
15 51 40
15 52 67
15 53 23
15 54 36
15 55 15
15 56 87
15 57 34
15 58 90
15 59 47
15 60 44
15 61 51
15 62 39
15 63 25
15 64 82
15 65 57
15 66 71
15 67 95
16 17 100
16 18 69
16 19 66
16 20 94
16 21 83
16 22 46
16 23 13
16 24 97
16 25 0
16 26 31
16 27 78
16 28 76
16 29 77
16 30 65
16 31 76
16 32 29
16 33 6
16 34 87
16 35 23
16 36 49
16 37 17
16 38 9
16 39 82
16 40 72
16 41 66
16 42 84
16 43 44
16 44 16
16 45 20
16 46 51
16 47 7
16 48 51
16 49 68
16 50 52
16 51 55
16 52 97
16 53 27
16 54 27
16 55 42
16 56 49
16 57 87
16 58 63
16 59 65
16 60 28
16 61 42
16 62 58
16 63 31
16 64 88
16 65 78
16 66 36
16 67 52
17 18 61
17 19 93
17 20 14
17 21 34
17 22 50
17 23 21
17 24 14
17 25 50
17 26 21
17 27 75
17 28 20
17 29 88
17 30 16
17 31 55
17 32 96
17 33 80
17 34 95
17 35 33
17 36 9
17 37 40
17 38 93
17 39 45
17 40 76
17 41 95
17 42 22
17 43 5
17 44 54
17 45 37
17 46 10
17 47 65
17 48 21
17 49 48
17 50 79
17 51 77
17 52 37
17 53 64
17 54 67
17 55 67
17 56 78
17 57 77
17 58 0
17 59 39
17 60 63
17 61 76
17 62 90
17 63 82
17 64 98
17 65 47
17 66 43
17 67 20
18 19 15
18 20 52
18 21 69
18 22 7
18 23 42
18 24 15
18 25 23
18 26 48
18 27 64
18 28 63
18 29 12
18 30 42
18 31 99
18 32 48
18 33 85
18 34 7
18 35 47
18 36 51
18 37 59
18 38 84
18 39 91
18 40 24
18 41 32
18 42 37
18 43 15
18 44 50
18 45 84
18 46 7
18 47 43
18 48 72
18 49 32
18 50 95
18 51 89
18 52 61
18 53 94
18 54 43
18 55 79
18 56 79
18 57 93
18 58 39
18 59 14
18 60 76
18 61 28
18 62 5
18 63 17
18 64 58
18 65 78
18 66 80
18 67 14
19 20 46
19 21 17
19 22 4
19 23 58
19 24 70
19 25 20
19 26 20
19 27 63
19 28 72
19 29 5
19 30 16
19 31 56
19 32 16
19 33 25
19 34 95
19 35 30
19 36 88
19 37 75
19 38 14
19 39 25
19 40 44
19 41 72
19 42 29
19 43 51
19 44 56
19 45 41
19 46 67
19 47 30
19 48 92
19 49 1
19 50 4
19 51 33
19 52 28
19 53 45
19 54 47
19 55 12
19 56 56
19 57 21
19 58 98
19 59 46
19 60 18
19 61 75
19 62 97
19 63 23
19 64 73
19 65 50
19 66 24
19 67 44
20 21 89
20 22 52
20 23 45
20 24 51
20 25 12
20 26 61
20 27 97
20 28 16
20 29 21
20 30 96
20 31 57
20 32 81
20 33 28
20 34 52
20 35 16
20 36 18
20 37 81
20 38 8
20 39 63
20 40 65
20 41 46
20 42 63
20 43 50
20 44 83
20 45 24
20 46 46
20 47 9
20 48 88
20 49 80
20 50 53
20 51 54
20 52 88
20 53 4
20 54 2
20 55 43
20 56 40
20 57 58
20 58 43
20 59 77
20 60 54
20 61 63
20 62 25
20 63 81
20 64 47
20 65 19
20 66 78
20 67 97
21 22 81
21 23 11
21 24 29
21 25 78
21 26 35
21 27 68
21 28 93
21 29 26
21 30 90
21 31 23
21 32 35
21 33 15
21 34 15
21 35 88
21 36 95
21 37 76
21 38 37
21 39 14
21 40 55
21 41 72
21 42 95
21 43 53
21 44 98
21 45 55
21 46 91
21 47 7
21 48 2
21 49 20
21 50 54
21 51 28
21 52 5
21 53 35
21 54 33
21 55 83
21 56 78
21 57 24
21 58 27
21 59 100
21 60 55
21 61 77
21 62 90
21 63 38
21 64 94
21 65 76
21 66 91
21 67 77
22 23 78
22 24 47
22 25 86
22 26 14
22 27 40
22 28 78
22 29 37
22 30 84
22 31 24
22 32 16
22 33 24
22 34 74
22 35 54
22 36 29
22 37 29
22 38 16
22 39 51
22 40 60
22 41 99
22 42 52
22 43 60
22 44 23
22 45 13
22 46 33
22 47 18
22 48 9
22 49 20
22 50 22
22 51 87
22 52 15
22 53 80
22 54 59
22 55 17
22 56 52
22 57 56
22 58 28
22 59 33
22 60 61
22 61 12
22 62 86
22 63 100
22 64 17
22 65 21
22 66 40
22 67 19
23 24 94
23 25 53
23 26 27
23 27 41
23 28 53
23 29 84
23 30 39
23 31 68
23 32 44
23 33 62
23 34 63
23 35 86
23 36 94
23 37 90
