42 861
1 2 66
1 3 63
1 4 65
1 5 25
1 6 64
1 7 35
1 8 47
1 9 7
1 10 16
1 11 51
1 12 33
1 13 12
1 14 9
1 15 86
1 16 74
1 17 17
1 18 4
1 19 14
1 20 57
1 21 41
1 22 81
1 23 14
1 24 92
1 25 1
1 26 30
1 27 81
1 28 3
1 29 46
1 30 22
1 31 93
1 32 43
1 33 73
1 34 39
1 35 84
1 36 52
1 37 2
1 38 67
1 39 83
1 40 77
1 41 29
1 42 31
2 3 1
2 4 56
2 5 58
2 6 75
2 7 86
2 8 94
2 9 52
2 10 66
2 11 30
2 12 36
2 13 34
2 14 58
2 15 62
2 16 35
2 17 75
2 18 36
2 19 19
2 20 35
2 21 18
2 22 70
2 23 90
2 24 89
2 25 72
2 26 17
2 27 50
2 28 80
2 29 73
2 30 91
2 31 15
2 32 39
2 33 28
2 34 69
2 35 86
2 36 86
2 37 58
2 38 94
2 39 72
2 40 78
2 41 41
2 42 82
3 4 76
3 5 4
3 6 90
3 7 25
3 8 95
3 9 82
3 10 63
3 11 50
3 12 39
3 13 54
3 14 47
3 15 49
3 16 58
3 17 89
3 18 26
3 19 61
3 20 79
3 21 24
3 22 32
3 23 40
3 24 71
3 25 73
3 26 75
3 27 14
3 28 75
3 29 58
3 30 78
3 31 56
3 32 9
3 33 94
3 34 98
3 35 85
3 36 94
3 37 2
3 38 1
3 39 39
3 40 100
3 41 71
3 42 50
4 5 63
4 6 26
4 7 98
4 8 79
4 9 1
4 10 69
4 11 18
4 12 68
4 13 59
4 14 82
4 15 44
4 16 69
4 17 65
4 18 94
4 19 32
4 20 64
4 21 11
4 22 66
4 23 43
4 24 68
4 25 69
4 26 47
4 27 77
4 28 57
4 29 71
4 30 63
4 31 8
4 32 4
4 33 44
4 34 64
4 35 40
4 36 56
4 37 99
4 38 90
4 39 39
4 40 97
4 41 13
4 42 81
5 6 40
5 7 72
5 8 3
5 9 83
5 10 9
5 11 61
5 12 41
5 13 65
5 14 39
5 15 21
